Circuit,Parameter,Dummy,tsfresh-XGBoost,tsfresh-XGBoost-Quantile
L-R-RCPE,L1,1.6075918181818178e-06,1.8120370213300143e-06,9.449730181676318e-07
,R1,45.84963590909093,36.17977084164185,36.90240532129631
,R2,39208.54560590908,38773.580841104085,26956.0606073063
,CPE1_t,0.11721818181818182,0.015711252994970837,0.014809263877435162
,CPE1_C,0.004673987071135589,0.0035980480254785827,0.0035920402517563353
L-R-RCPE-RCPE,L1,1.4887375000000003e-06,1.7871128084170802e-06,1.1133596356218721e-06
,R1,37.10106778846153,45.3692074892584,37.90261995445976
,R2,392.5485322115385,322.4967375029461,343.1387774225284
,CPE1_t,0.12377403846153838,0.12730032732395022,0.12921697990710915
,CPE1_C,1.8728392031250014e-06,3.5691518530589817e-06,2.587615402865289e-06
,R3,42790.30852259615,53602.76550069883,41963.02751046146
,CPE2_t,0.1360096153846155,0.028820358065458438,0.02891687450042136
,CPE2_C,0.01465473555432693,0.007694016250336861,0.00695617964614786
L-R-RCPE-RCPE-RCPE,L1,1.4090239130434786e-06,1.7298130974835916e-06,1.3476724425507421e-06
,R1,36.853190869565225,52.02348528384075,40.17676629534782
,R2,189.99708826086962,209.8879562062181,172.76977732710768
,CPE1_t,0.13158695652173916,0.14143435966657555,0.13991845732771835
,CPE1_C,1.7728350016086936e-06,3.2140822254746134e-06,2.20146021726539e-06
,R3,2705.7191413043424,1631.4935497276185,1802.2350030239163
,CPE2_t,0.13586956521739127,0.09929459102672081,0.10033029896072725
,CPE2_C,0.0005893487143478259,0.0007047818321981523,0.0005580714448628671
,R4,98675.67849999998,104710.04066320228,93757.20910699567
,CPE3_t,0.1259304347826088,0.07858352369225545,0.08378926999879915
,CPE3_C,0.031936536391304365,0.030105040290199416,0.01813263203007574
RC-G-G,R1,51.81575065502182,48.13364051355815,52.71814665162767
,C1,5.382838471615718e-06,7.824425997198625e-06,7.382473928584803e-06
,R_g1,1.800623012227074,4.711681485742699,1.802150726182701
,t_g1,0.6123404279475987,3.46918988036889,0.6132546367087287
,R_g2,48.34401746724897,47.67668488101187,50.22253768375892
,t_g2,16.651323144104794,38.887276947021505,15.710947277601306
RC-RC-RCPE-RCPE,R1,28.81229824561403,30.48748579074481,3.3294813930724256
,R2,8.981739912280702,10.502415963984191,6.235367801526432
,R3,34.95565482456139,19.260745821840263,4.824209791397068
,R4,69213.72323947371,267572.84178103745,70244.89957196327
,C2,8.524684210526317e-06,1.2747358515547724e-05,6.040663180740909e-06
,CPE3_C,0.00012844653508771936,0.0003576490699330108,5.5179446694312224e-05
,CPE4_t,0.15721929824561398,0.1772239305742999,0.07771557139200078
,CPE4_C,0.4308110394736844,0.5574018716108569,0.17244049558061267
,C1,0.0,1.6548074187361756e-16,5.656386305141374e-17
,CPE3_t,0.0,8.344650270775134e-08,2.384185793236071e-08
RCPE-RCPE,R1,42.37349170506911,25.556586379993625,32.88324788790939
,R2,37110.880662672804,39522.27473998681,23444.95662645071
,CPE1_t,0.11989400921658992,0.12997775770222528,0.12673760125604092
,CPE1_C,0.0011598098395556684,0.0013566451792738075,0.0015778574604758738
,CPE2_t,0.1264009216589862,0.026961994384290974,0.02905037354983492
,CPE2_C,0.012304797719769587,0.009516868793734307,0.004971786286056819
RCPE-RCPE-RCPE,R1,11.949588938053092,13.13010985663257,11.58712726010171
,R2,328.61890265486744,524.0991641661911,306.029424183122
,R3,73425.77367477874,104117.32908120722,74236.03697634737
,CPE1_t,0.12511946902654872,0.15519472548813953,0.14000222037534796
,CPE1_C,1.740715784469027e-06,2.600046108528484e-06,1.7447149520991677e-06
,CPE2_t,0.12727433628318585,0.1260513546023749,0.10999713287944285
,CPE2_C,5.949760442477878e-05,0.00014716872522067942,5.110827305672333e-05
,CPE3_t,0.12257522123893808,0.11476330770644465,0.04714315070304192
,CPE3_C,0.027293668477876114,0.2097291275240133,0.01501810611958073
RCPE-RCPE-RCPE-RCPE,R1,39.285822767857134,39.91069464760336,37.368545912788015
,R2,137.45564910714285,183.95847736715345,135.9137823780991
,R3,2503.427414732141,2763.8039644978703,2292.098266283991
,R4,90485.98714732137,152464.14791752436,82160.3211369794
,CPE1_t,0.1297633928571429,0.13557093454897406,0.14023589505680978
,CPE1_C,4.552100213392856e-07,0.00028989184876761074,4.561177871133488e-07
,CPE2_t,0.13079017857142858,0.12617844789794505,0.13447017890002033
,CPE2_C,0.0008803797472767854,0.0018224931625260427,0.0008815094277002622
,CPE3_t,0.1294375,0.10583261152250424,0.10488702673358577
,CPE3_C,0.003500695777232142,0.006710444060991169,0.0036212690253212
,CPE4_t,0.1296830357142857,0.10529323408859116,0.10590564230935914
,CPE4_C,0.027726292450892868,0.030563070248227193,0.02041575052842619
Rs_Ws,R1,100.38841566265062,16.33787927499864,26.312099286721406
,W1_R,783.0187228915656,259.18847614003636,239.98436574431327
,W1_T,188.56532951807225,193.9863013146947,216.6475747733616
,W1_p,0.9691566265060242,0.08117665055286453,0.0807697344400796
