circuit,param,mae
L-R-RCPE,L1,1.8120370213300143e-06
,R1,36.17977084164185
,R2,38773.580841104085
,CPE1_t,0.015711252994970837
,CPE1_C,0.0035980480254785827
L-R-RCPE-RCPE,L1,1.7871128084170802e-06
,R1,45.3692074892584
,R2,322.4967375029461
,CPE1_t,0.12730032732395022
,CPE1_C,3.5691518530589817e-06
,R3,53602.76550069883
,CPE2_t,0.028820358065458438
,CPE2_C,0.007694016250336861
L-R-RCPE-RCPE-RCPE,L1,1.7298130974835916e-06
,R1,81.4964131967671
,R2,212.5396094861918
,CPE1_t,0.16862290491021203
,CPE1_C,3.2140822254746134e-06
,R3,3336.1149048966113
,CPE2_t,0.16457886192280305
,CPE2_C,0.0050795412765996485
,R4,289367.12831345527
,CPE3_t,0.13562621081601012
,CPE3_C,0.22669272412636948
RC-G-G,R1,2.1355245042306
,C1,7.824425997198625e-06
,R_g1,2.271549085752164
,t_g1,1.0301235286072679
,R_g2,15.245992907680149
,t_g2,14.77299796257459
RC-RC-RCPE-RCPE,R1,30.48748579074481
,R2,10.502415963984191
,R3,19.260745821840263
,R4,267572.84178103745
,C2,1.2747358515547724e-05
,CPE3_C,0.0003576490699330108
,CPE4_t,0.1772239305742999
,CPE4_C,0.5574018716108569
,C1,1.6548074187361756e-16
,CPE3_t,8.344650270775134e-08
RCPE-RCPE,R1,25.556586379993625
,R2,39522.27473998681
,CPE1_t,0.12997775770222528
,CPE1_C,0.0013566451792738075
,CPE2_t,0.026961994384290974
,CPE2_C,0.009516868793734307
RCPE-RCPE-RCPE,R1,13.13010985663257
,R2,524.0991641661911
,R3,104117.32908120722
,CPE1_t,0.15519472548813953
,CPE1_C,2.600046108528484e-06
,CPE2_t,0.1260513546023749
,CPE2_C,0.00014716872522067942
,CPE3_t,0.11476330770644465
,CPE3_C,0.2097291275240133
RCPE-RCPE-RCPE-RCPE,R1,39.91069464760336
,R2,183.95847736715345
,R3,2763.8039644978703
,R4,152464.14791752436
,CPE1_t,0.13557093454897406
,CPE1_C,0.00028989184876761074
,CPE2_t,0.12617844789794505
,CPE2_C,0.0018224931625260427
,CPE3_t,0.10583261152250424
,CPE3_C,0.006710444060991169
,CPE4_t,0.10529323408859116
,CPE4_C,0.030563070248227193
Rs_Ws,R1,16.33787927499864
,W1_R,259.18847614003636
,W1_T,193.9863013146947
,W1_p,0.08117665055286453
